,PLAYER,WEIGHT,FEET,INCHES,HEIGHT.in
362,Elfrid Payton ,195,6,3,75
363,Norvel Pelle ,231,6,10,82
364,Reggie Perry ,250,6,8,80
365,Theo Pinson ,212,6,5,77
366,Mason Plumlee ,254,6,11,83
367,Jakob Poeltl ,245,7,1,85
368,Vincent Poirier ,235,7,1,85
369,Aleksej Pokusevski ,190,7,1,85
370,Jordan Poole ,194,6,4,76
371,Jontay Porter ,240,6,11,83
372,Kevin Porter Jr. ,203,6,4,76
373,Michael Porter Jr. ,218,6,10,82
374,Otto Porter Jr. ,198,6,8,80
375,Bobby Portis ,250,6,10,82
376,Kristaps Porzingis ,240,7,3,87
377,Dwight Powell ,240,6,10,82
378,Norman Powell ,215,6,3,75
379,Taurean Prince ,218,6,7,79
380,Payton Pritchard ,195,6,1,73
381,Immanuel Quickley ,190,6,3,75
382,Jahmi'us Ramsey ,190,6,3,75
383,Chasson Randle ,185,6,2,74
384,Julius Randle ,250,6,8,80
385,Cam Reddish ,218,6,8,80
386,JJ Redick ,200,6,3,75
387,Paul Reed ,210,6,9,81
388,Naz Reid ,264,6,9,81
389,Nick Richards ,245,7,1,85
390,Josh Richardson ,200,6,5,77
391,Grant Riller ,190,6,2,74
392,Austin Rivers ,200,6,4,76
393,Andre Roberson ,210,6,7,79
394,Duncan Robinson ,215,6,7,79
395,Jerome Robinson ,190,6,4,76
396,Mitchell Robinson ,240,7,1,85
397,Isaiah Roby ,230,6,8,80
398,Rajon Rondo ,180,6,1,73
399,Derrick Rose ,200,6,2,74
400,Terrence Ross ,206,6,6,78
401,Terry Rozier ,190,6,1,73
402,Ricky Rubio ,190,6,3,75
403,D'Angelo Russell ,193,6,4,76
404,Domantas Sabonis ,240,6,11,83
405,Luka Samanic ,227,6,10,82
406,JaKarr Sampson ,214,6,7,79
407,Dario Saric ,225,6,10,82
408,Tomas Satoransky ,210,6,7,79
409,Dennis Schroder ,172,6,3,75
410,Mike Scott ,237,6,7,79
411,Jay Scrubb ,220,6,5,77
412,Collin Sexton ,190,6,1,73
413,Landry Shamet ,190,6,4,76
414,Iman Shumpert ,212,6,5,77
415,Pascal Siakam ,230,6,9,81
416,Chris Silva ,234,6,8,80
417,Ben Simmons ,240,6,11,83
418,Anfernee Simons ,181,6,3,75
419,Deividas Sirvydis ,190,6,8,80
420,Alen Smailagic ,215,6,10,82
421,Marcus Smart ,220,6,3,75
422,Ish Smith ,175,6,1,73
423,Jalen Smith ,215,6,10,82
424,Dennis Smith Jr. ,205,6,2,74
425,Tony Snell ,213,6,6,78
426,Cassius Stanley ,190,6,5,77
427,Lamar Stevens ,230,6,6,78
428,Isaiah Stewart ,250,6,8,80
429,Max Strus ,215,6,5,77
430,Edmond Sumner ,196,6,4,76
431,Jae'Sean Tate ,230,6,4,76
432,Jayson Tatum ,210,6,8,80
433,Jeff Teague ,195,6,3,75
434,Garrett Temple ,195,6,5,77
435,Tyrell Terry ,160,6,2,74
436,Daniel Theis ,245,6,8,80
437,Brodric Thomas ,185,6,5,77
438,Matt Thomas ,190,6,4,76
439,Klay Thompson ,215,6,6,78
440,Tristan Thompson ,254,6,9,81
441,Sindarius Thornwell ,215,6,4,76
442,Matisse Thybulle ,201,6,5,77
443,Killian Tillie ,220,6,9,81
444,Xavier Tillman ,245,6,8,80
445,Obi Toppin ,220,6,9,81
446,Juan Toscano-Anderson ,209,6,6,78
447,Karl-Anthony Towns ,248,6,11,83
448,Gary Trent Jr. ,209,6,5,77
449,P.J. Tucker ,245,6,5,77
450,Rayjon Tucker ,209,6,3,75
451,Myles Turner ,250,6,11,83
452,Jonas Valanciunas ,265,6,11,83
453,Denzel Valentine ,220,6,4,76
454,Fred VanVleet ,197,6,1,73
455,Jarred Vanderbilt ,214,6,9,81
456,Devin Vassell ,200,6,5,77
457,Gabe Vincent ,200,6,3,75
458,Nikola Vucevic ,260,6,11,83
459,Dean Wade ,228,6,9,81
460,Moritz Wagner ,245,6,11,83
461,Kemba Walker ,184,6,1,73
462,Lonnie Walker IV ,204,6,4,76
463,John Wall ,210,6,3,75
464,Brad Wanamaker ,210,6,3,75
465,T.J. Warren ,220,6,8,80
466,P.J. Washington ,230,6,7,79
467,Yuta Watanabe ,215,6,9,81
468,Tremont Waters ,175,5,10,70
469,Paul Watson ,210,6,6,78
470,Quinndary Weatherspoon ,205,6,3,75
471,Russell Westbrook ,200,6,3,75
472,Coby White ,195,6,5,77
473,Derrick White ,190,6,4,76
474,Hassan Whiteside ,265,7,1,85
475,Greg Whittington ,210,6,8,80
476,Andrew Wiggins ,197,6,7,79
477,Grant Williams ,236,6,6,78
478,Kenrich Williams ,210,6,6,78
479,Lou Williams ,175,6,1,73
480,Patrick Williams ,215,6,7,79
481,Robert Williams III ,237,6,8,80
482,Zion Williamson ,284,6,7,79
483,D.J. Wilson ,231,6,10,82
484,Dylan Windler ,196,6,6,78
485,Justise Winslow ,222,6,6,78
486,Cassius Winston ,185,6,1,73
487,James Wiseman ,240,7,1,85
488,Christian Wood ,214,6,10,82
489,Robert Woodard II ,235,6,6,78
490,Delon Wright ,185,6,5,77
491,Thaddeus Young ,235,6,8,80
492,Trae Young ,180,6,1,73
493,Cody Zeller ,240,6,11,83
494,Ivica Zubac ,240,7,1,85
