,X,PC1,PC2,PC3,PC4,PC5,greedy_communities,betweenness_communities,kmclust,hclust,mmclust
140,Dwyane Wade,1.195581393,2.097548996,1.733789301,0.538524065,-0.784804449,6,2,17,5,7
146,Elfrid Payton,0.651540961,3.689054329,-0.68428448,0.268763173,0.232679719,6,2,9,2,7
147,Elie Okobo,1.813751634,1.591274436,-1.470337737,0.431147096,0.583914482,6,2,13,2,2
148,Emmanuel Mudiay,1.480179246,2.097389398,0.179955169,-0.890277978,0.25946848,6,2,9,7,5
150,Eric Bledsoe,1.205953999,3.121068796,0.503935696,-0.696244155,-0.761328657,6,2,9,7,7
155,Evan Turner,0.174998759,1.622370914,-0.314030557,2.089027244,-0.665580364,6,18,13,7,13
158,Frank Mason III,1.117989553,3.553458954,-0.341804804,0.495206178,-1.486719266,6,2,9,7,7
159,Frank Ntilikina,2.401953238,1.473149237,-1.697851618,0.777593625,0.751189555,6,2,13,2,2
160,Fred VanVleet,3.272284852,1.692513684,0.462550444,-0.816929056,0.465351862,6,2,13,2,5
171,Goran Dragic,2.18375445,2.146709494,0.485979571,0.161082061,-0.298213212,6,2,9,2,2
188,Isaiah Briscoe,1.309424046,1.738572254,-1.773826675,0.834401029,0.666774328,6,2,13,2,2
189,Isaiah Canaan,3.59310664,1.462942072,-0.564186211,0.497355372,0.866398058,6,2,13,2,2
192,Isaiah Thomas,2.451952264,2.256977657,-1.543684099,-0.409215538,-0.613303843,6,2,13,2,2
193,Ish Smith,2.839977159,2.539639997,0.350514318,-0.097604376,-0.162252929,6,2,9,15,2
196,J.J. Barea,2.999015418,4.994859279,0.726252878,0.645177844,-1.233312103,6,2,5,15,7
206,Jalen Brunson,2.223476128,1.661327811,-0.741414593,-0.731496155,-0.325318695,6,2,13,5,2
216,Jared Terrell,2.45591798,2.234574934,-1.989279972,1.726142121,1.904580588,6,2,13,12,2
225,Jaylen Adams,2.754009589,1.47434053,-1.69061167,1.491512363,1.422594506,6,2,13,12,2
229,Jeff Teague,1.850345656,4.490764103,0.61098247,1.072927069,-0.423243157,6,2,5,15,7
233,Jeremy Lin,1.374857168,2.448244463,0.563906879,0.805048565,-0.117374261,6,2,9,7,2
234,Jerian Grant,2.731972948,1.875932705,-0.612762991,1.26157915,0.415782106,6,2,13,12,2
236,Jerryd Bayless,2.785264034,1.640366159,-1.024022259,1.202167968,-0.791551163,6,2,13,2,2
237,Jevon Carter,3.403212584,1.393836335,-1.096055609,0.07050999,1.583993675,6,2,13,2,2
239,Jimmy Butler,-0.21005175,1.479742644,1.485761269,-1.006145254,-1.102066588,6,2,17,7,5
248,John Wall,0.903796128,3.763609673,0.833651936,-0.251768611,-0.25444216,6,2,9,7,7
256,Jonathon Simmons,0.997564452,1.57780959,-0.208895499,0.48953799,-0.210210632,6,2,13,5,13
259,Jordan Loyd,1.540791267,1.789108461,1.943886912,0.211475398,-0.583278325,6,2,17,5,7
260,Jordan McRae,1.514339924,1.10681502,0.009033714,-0.2134833,-1.535778862,6,2,17,5,13
266,Jrue Holiday,1.113307874,3.40263718,1.084466711,-0.726748313,-0.411711526,6,2,9,7,7
275,Kadeem Allen,1.436458843,2.703049848,-0.119411638,0.288622044,0.533310793,6,2,9,7,2
277,Kawhi Leonard,0.181607638,1.52312265,2.17652161,-1.438253835,-0.916831079,6,2,17,7,5
281,Kemba Walker,2.966210526,3.507887375,1.593401248,-1.328888916,-0.877339038,6,2,9,15,7
296,Kris Dunn,1.418405837,3.43588445,-0.218799977,0.463947791,1.105317825,6,2,9,7,7
300,Kyle Lowry,3.050124214,2.77266158,0.959135908,1.223370144,0.10673446,6,2,5,15,7
302,Kyrie Irving,2.19068297,2.919758948,1.368366457,-0.96500815,-0.025427709,6,2,9,15,7
312,Lonzo Ball,1.031175398,1.943355185,-2.246642711,-0.34456709,0.539150514,6,2,13,2,2
313,Lorenzo Brown,1.896621156,2.348219501,-0.438271762,0.400032554,1.18643152,6,2,13,7,2
314,Lou Williams,2.553394061,3.639607511,2.011828822,-0.526443506,-1.092483042,6,2,9,15,7
316,Luka Doncic,0.409009472,3.243254441,1.606797195,-0.947158604,0.411819808,6,2,9,7,7
330,Marcus Smart,2.067225911,0.944970313,-0.753068941,0.038140594,1.072945445,6,2,13,2,2
332,Markelle Fultz,0.068069531,3.013844886,-1.376820556,-0.586412736,0.228101759,6,2,9,2,7
335,MarShon Brooks,0.797239069,1.16176024,0.55776468,0.048320751,-1.296498264,6,2,17,5,13
339,Matthew Dellavedova,2.490916748,2.565165282,-0.435116791,2.126711446,-0.085835242,6,2,5,12,2
345,Michael Carter-Williams,-0.180085636,2.750654319,-0.695479591,-0.23592572,1.072746152,6,2,9,2,7
348,Mike Conley,2.076445927,2.141495621,2.327542886,-0.136428157,-0.76063388,6,2,17,5,7
357,Monte Morris,3.0130637,0.808759767,0.256967537,-1.651464783,-0.447701371,6,2,7,5,5
361,Naz Mitrou-Long,1.953983439,4.065879025,-1.125621054,2.827499165,-0.184840791,6,50,5,15,7
380,Patrick Beverley,2.205439468,1.114116378,-0.11713894,0.860235229,1.528931962,6,2,13,2,2
381,Patrick McCaw,1.550638209,0.623234807,-0.922981834,0.024986718,1.883818067,6,2,15,2,13
391,Rajon Rondo,2.425395019,4.821909298,-0.401595672,1.388484661,0.336430465,6,50,5,15,7
392,Raul Neto,2.352875538,2.262953909,-0.104337276,0.009214721,0.519369554,6,2,13,2,2
399,Ricky Rubio,2.188990499,2.338037245,-0.040255252,0.770583845,0.425157886,6,2,13,7,2
411,Russell Westbrook,0.091591393,4.705159757,1.140602143,0.233985741,0.058118989,6,2,9,15,7
420,Shabazz Napier,3.320069936,2.581751064,0.264425491,-0.725387669,-0.269785954,6,2,9,15,7
421,Shai Gilgeous-Alexander,1.245373014,1.54531527,-0.542808791,-0.917835227,0.671819474,6,2,13,2,5
423,Shaquille Harrison,-0.020256641,2.089130206,-1.239091158,-1.298117808,0.069329064,6,2,18,2,7
424,Shaun Livingston,-0.173572021,1.078965234,-0.79371983,1.62554039,-2.294222945,6,18,11,13,13
425,Shelvin Mack,1.91374741,2.240967689,-0.220296291,0.055522007,-0.514909412,6,2,13,2,2
429,Spencer Dinwiddie,1.458963026,2.489768464,0.989895297,-0.425058544,0.03119289,6,2,9,7,7
436,T.J. McConnell,2.034495587,1.929314085,-0.796658431,0.540778503,-0.12713244,6,2,13,2,2
442,Terry Rozier,2.875461965,1.014150235,0.104750426,-1.192725697,0.034990827,6,2,7,5,5
445,Theo Pinson,1.658177975,1.332456027,-0.024645313,0.330597165,0.148982889,6,2,13,5,13
449,Tim Frazier,2.628491789,2.509233756,-0.362447529,1.327658311,0.889886272,6,2,13,12,2
453,Tomáš Satoranský,0.708124902,1.094797439,0.454617956,0.652874674,0.341456973,6,2,17,5,13
455,Tony Parker,1.619239787,2.884897399,0.781821193,0.60867023,-1.398833876,6,2,9,7,7
458,Trae Young,2.534777535,4.771273869,0.605227297,-0.740771654,-0.140855064,6,2,9,15,7
461,Trey Burke,2.939678524,2.468411499,0.571548327,-1.304932991,-1.054856228,6,2,9,15,7
472,Tyreke Evans,0.466102854,2.36195022,0.399995156,-0.242095014,0.319217241,6,2,9,7,7
475,Tyus Jones,3.155315305,3.045799488,-0.110066988,-1.171426521,-0.410094965,6,2,9,15,7
477,Victor Oladipo,1.509371709,2.315303876,0.431765496,-0.344694681,-0.538306428,6,2,9,7,7
491,Yogi Ferrell,3.560519174,1.844840422,0.267288892,-0.643184862,-0.687739877,6,2,13,15,7
494,Zach LaVine,0.438129354,2.846034084,1.693836026,-1.802667805,0.091961756,6,2,9,7,7
301,Kyle O'Quinn,-3.449200787,-0.395196407,-1.145821954,3.972101678,-0.643116511,5,42,2,11,8
474,Tyson Chandler,-4.779252802,0.5993769,-0.246553199,3.560871569,-0.976288328,5,42,2,11,8
495,Zaza Pachulia,-4.042719754,0.994506581,-0.031343773,3.772244642,0.167044343,5,42,2,11,8
54,C.J. Williams,1.181711408,0.740958721,-4.135414067,1.104061987,-1.116216629,4,10,11,2,2
406,Ron Baker,1.574654239,0.877609111,-3.246310977,2.083731867,-0.255101557,4,10,11,2,2
9,Alex Len,-3.750783774,-1.877442932,0.677459412,-1.012555506,0.80261103,3,4,6,8,8
15,Amile Jefferson,-3.245279661,0.21759922,1.091150932,-0.952667842,-0.101880216,3,4,6,8,9
16,Amir Johnson,-2.510142569,0.46510849,-0.840452302,2.270577229,1.011166456,3,4,2,10,8
17,Andre Drummond,-7.357087587,1.493564822,-0.265100339,-0.653845181,-0.753267291,3,6,14,11,10
19,Andrew Bogut,-4.167565869,-0.256114938,2.143482669,2.67369199,1.642239077,3,4,2,8,8
23,Ante Žižic,-3.167575869,0.640468701,0.141559559,-0.522483608,0.205607458,3,4,6,8,9
24,Anthony Davis,-4.708782381,0.29964333,2.849334398,-1.774093109,0.079143583,3,4,6,8,9
27,Aron Baynes,-2.862650874,-1.350851813,1.316873474,1.908548064,1.049538838,3,4,10,8,4
31,Bam Adebayo,-4.382338092,1.477559782,-0.742065501,0.607960794,-0.901947057,3,4,19,11,10
33,Ben Simmons,-4.090993267,3.477102537,-0.469775057,-0.085944177,-0.929470581,3,4,19,11,10
35,Bismack Biyombo,-4.431791978,-0.41022811,0.434686763,1.137630944,0.374285813,3,4,2,11,10
55,Caleb Swanigan,-2.9507184,0.478644694,-2.012063823,1.857747841,2.087562865,3,11,2,10,8
65,Cheick Diallo,-3.762531105,-0.305860042,-1.265772887,0.304754391,-0.57291276,3,4,19,10,14
66,Chimezie Metu,-2.785271398,1.597860041,-1.395960011,0.243784241,-0.19052034,3,4,19,10,8
67,Chris Boucher,-3.879309237,-2.07682747,0.936331661,-1.018918559,2.174278308,3,4,6,8,8
70,Christian Wood,-3.984570544,-0.20673306,0.826162983,-1.967988826,-0.701382039,3,4,6,8,10
72,Clint Capela,-6.149941542,-0.067043728,1.264849704,-1.885209411,-0.736166774,3,4,14,14,10
73,Cody Zeller,-3.84551657,-0.01877128,0.518815579,0.388313788,0.31490443,3,4,6,11,10
78,Cristiano Felício,-3.105389845,0.694046284,-0.926160528,0.214385027,-1.385729142,3,4,19,10,14
83,Damian Jones,-4.655417615,-0.555663143,-0.203107042,0.406305273,-0.015693302,3,4,6,11,10
88,Daniel Theis,-3.602633072,-1.066955294,-0.55597551,0.851414205,-0.279020394,3,4,2,11,14
104,Deandre Ayton,-4.419929368,0.845671349,-1.735662914,-0.792413724,-2.293478171,3,4,19,11,10
105,DeAndre Jordan,-5.760696783,0.430899948,1.959308949,1.414080518,0.04979651,3,4,14,11,10
108,DeMarcus Cousins,-4.444910241,1.181050047,0.358476313,0.765973062,0.04848648,3,4,6,11,10
115,Derrick Favors,-5.129504739,-1.017918498,0.338062026,-0.833219726,-1.044672918,3,4,14,8,10
116,Derrick Jones Jr.,-1.980108017,-0.641437861,-1.236783357,-2.032365011,0.499758646,3,19,18,17,16
121,Devin Robinson,-3.823004274,0.43012052,-1.076449933,-1.494275854,-2.306075952,3,4,19,11,10
123,Dewayne Dedmon,-2.136018144,-2.034484813,1.246386258,0.516708242,1.215759478,3,4,10,4,4
124,Deyonta Davis,-4.755321108,-0.56132135,-1.902271269,0.03744606,-2.927596632,3,4,19,11,10
128,Domantas Sabonis,-4.17842664,0.6235676,1.42138383,0.000130103,1.570763855,3,4,6,8,9
135,Drew Eubanks,-3.202557376,0.453492896,0.707349332,0.915430245,1.003791075,3,4,6,8,8
138,Dwight Howard,-5.461493541,0.032013863,1.247644193,1.325051263,-0.177711963,3,4,14,11,10
139,Dwight Powell,-3.752149144,-0.865502294,1.062537986,-0.297702268,-0.690357462,3,4,6,8,9
143,Ed Davis,-5.044341406,0.734576411,-0.677700483,1.373243061,-0.467983882,3,4,2,11,10
145,Ekpe Udoh,-4.49862883,-0.09257047,1.08542243,0.82952846,-0.313836926,3,4,6,11,10
149,Enes Kanter,-3.933755679,0.765783859,3.402543259,-1.345206846,1.940233329,3,4,6,8,9
173,Gorgui Dieng,-2.06891366,-1.421284347,1.188826366,1.194419871,0.445406941,3,25,10,4,4
175,Greg Monroe,-3.97224669,1.330638446,-0.34522781,-0.272814959,0.402831725,3,4,6,11,9
177,Hamidou Diallo,-2.102306555,0.365621113,-2.6703452,-1.457386313,0.018169132,3,19,18,10,16
179,Harry Giles,-4.773468496,1.388104065,-2.65026385,0.766244946,-0.66493461,3,4,19,11,10
180,Hassan Whiteside,-8.084984859,-0.23605628,0.041467735,-0.076248942,-0.827240155,3,6,14,14,10
184,Ian Mahinmi,-3.754351245,-0.224927515,-0.598683636,1.965285079,0.430266196,3,4,2,11,8
191,Isaiah Hicks,-3.103495497,0.204126729,0.511849542,0.999323846,0.992021921,3,4,6,8,8
194,Ivan Rabb,-3.479349443,0.020219526,-1.56907689,0.261433446,-0.894220392,3,4,19,10,14
195,Ivica Zubac,-5.629625341,0.006976354,1.039230235,-0.774379925,0.57417635,3,4,14,8,10
202,Jahlil Okafor,-4.621856367,0.005039452,0.473513638,-0.681225377,-0.254045806,3,4,6,8,10
205,Jakob Poeltl,-4.428465658,-0.307415641,0.10870772,-0.025423822,0.187385796,3,4,6,11,10
218,Jaren Jackson Jr.,-3.161563307,-0.516169521,-0.40198516,-0.666530077,1.045717207,3,4,6,8,8
221,Jarrett Allen,-5.390013989,-0.637923288,-0.534549885,-0.772080227,-1.162560668,3,4,14,8,10
222,Jason Smith,-1.532928503,-2.167162064,0.901517816,2.617336371,1.655366806,3,4,10,8,4
223,JaVale McGee,-7.594685852,-0.583469244,-0.307594724,0.368302024,-1.749359797,3,6,14,14,10
240,Joakim Noah,-5.581689985,1.484934303,0.531880933,1.568735842,-0.693278114,3,4,14,11,10
244,Joel Embiid,-4.86735664,0.354584215,2.809804189,-0.032479216,0.279781333,3,4,6,8,9
245,John Collins,-4.142532332,-0.60633427,1.361734823,-2.126011977,0.379420756,3,4,6,8,10
249,Johnathan Motley,-6.513043589,2.236677909,-1.98122301,-0.514749905,-1.288723794,3,6,19,11,10
250,Johnathan Williams,-5.041452675,0.767331536,-2.854312888,-0.331845945,-1.949424126,3,4,19,11,10
251,Jon Leuer,-3.08481406,-0.588590033,-1.756760119,1.758935795,-1.664197483,3,4,2,10,14
254,Jonas Valanciunas,-5.211518429,-0.088752107,2.817467841,-0.408175605,1.382574125,3,4,6,8,9
257,Jordan Bell,-2.917273126,0.348812039,-1.60177712,0.987979802,-1.096775297,3,4,19,10,14
269,Julius Randle,-3.22394944,1.199897318,1.253805611,-0.832180404,0.314362004,3,4,6,8,9
274,Jusuf Nurkic,-6.370339073,1.074501851,-0.109931242,0.716092625,-0.586994909,3,4,14,11,10
276,Karl-Anthony Towns,-3.72798136,-0.006227878,2.156350318,-0.540763958,1.239976331,3,4,6,8,9
282,Kenneth Faried,-5.00744129,-0.29996174,0.950311856,-1.305445182,-0.216853085,3,4,6,8,10
290,Kevon Looney,-4.525122635,0.140818817,-2.402141247,0.086878887,-1.370096007,3,4,19,11,10
291,Khem Birch,-4.821711003,0.392147735,-0.40564299,-0.155069691,-1.533867639,3,4,19,11,10
295,Kosta Koufos,-3.812514298,-0.499905606,-0.21197643,1.684338105,1.052381978,3,4,2,11,8
303,LaMarcus Aldridge,-2.958932993,-0.275715146,1.940273063,0.853077642,-1.817800758,3,4,6,8,14
308,Larry Nance Jr.,-2.766987087,0.655266083,-0.092485746,0.366069467,0.378017047,3,4,6,8,9
325,Marc Gasol,-1.320009921,-0.517899269,1.659497294,2.352958978,-0.17059562,3,47,10,8,4
326,Marcin Gortat,-3.125500752,-0.332211097,1.10210913,2.661399812,0.426280548,3,4,2,8,8
334,Marquese Chriss,-2.92897126,-0.892670655,-1.244007588,-0.268371586,1.566623594,3,4,18,8,8
336,Marvin Bagley III,-3.635454055,0.088305976,0.161061887,-1.510789944,-0.356888122,3,4,6,8,10
338,Mason Plumlee,-5.444193188,1.03215632,-1.182808581,1.909368774,-0.351370058,3,4,2,11,10
343,Meyers Leonard,-1.743323609,-2.076436638,1.918547804,0.865534659,0.778379556,3,25,10,4,4
344,Michael Beasley,-3.163367491,1.001767568,-0.094032005,-0.053909328,-0.049470527,3,4,6,8,9
352,Miles Plumlee,-4.707532957,0.926524259,0.980460132,-0.350294075,-1.403612233,3,4,14,8,10
354,Mitch Creek,-2.270069225,1.53178413,-1.483729727,-1.27537453,-3.15143472,3,4,19,17,10
355,Mitchell Robinson,-6.723240006,-0.649975305,0.087060593,-1.000368418,0.647176653,3,4,14,14,10
356,Mo Bamba,-2.966105123,-1.057109393,-0.781938045,-0.081162171,0.845433561,3,4,10,8,8
358,Montrezl Harrell,-5.861496297,1.203352788,-0.771404419,-1.262245212,-1.764042525,3,4,19,11,10
360,Myles Turner,-2.515797079,-1.971146169,1.717248176,-0.037712282,1.035110565,3,25,10,4,4
363,Nenê,-2.436073452,-0.269147304,-0.893314407,1.868320079,-1.70409731,3,4,2,10,14
364,Nerlens Noel,-4.918337134,0.024925857,-0.313203643,-0.231551558,1.069401264,3,4,6,11,10
368,Nikola Jokic,-3.091869648,1.947212713,1.944440769,0.351721142,0.615583575,3,4,6,8,9
370,Nikola Vucevic,-2.378728342,0.513973673,1.796843986,-0.784568183,-0.364954764,3,4,6,8,9
371,Noah Vonleh,-2.248639632,-0.054616051,0.574429699,0.594267968,1.067040549,3,4,10,8,8
384,Pau Gasol,-2.773819812,-0.674730238,1.883727081,3.091327282,-0.485803224,3,4,2,8,8
386,Paul Millsap,-2.102859205,-0.076361423,1.456828737,0.223075168,0.426991331,3,1,10,8,9
394,Ray Spalding,-5.595903969,1.259962969,-3.81528587,-0.315689192,-0.515951083,3,4,19,11,10
398,Richaun Holmes,-5.471733972,0.079029793,0.635456617,-0.470002504,0.368503131,3,4,14,8,10
401,Robert Williams,-5.930853214,-1.12999439,-0.204459291,-0.330523049,0.566080876,3,4,14,14,10
402,Robin Lopez,-3.823937445,-0.558744254,0.168868329,1.147074815,-1.559865044,3,4,2,8,14
407,Rondae Hollis-Jefferson,-2.300515186,0.693312843,-1.065836517,-1.217051883,-0.452930308,3,1,18,10,16
410,Rudy Gobert,-7.372754434,0.037070031,2.058622227,-0.638101653,-0.643786389,3,6,14,14,10
415,Salah Mejri,-3.979672449,-1.229857423,1.316473895,1.274588377,1.049788493,3,4,6,8,8
418,Serge Ibaka,-2.967898547,-1.704340684,1.210990814,0.714740382,-0.663087336,3,4,10,8,4
426,Sindarius Thornwell,-0.799247601,0.883996349,-2.57864055,1.939246823,0.897867603,3,11,11,10,8
427,Skal Labissière,-2.113049319,1.198732927,-1.482844489,0.876138401,0.724745545,3,11,18,10,8
433,Steven Adams,-4.994214838,0.688660388,-0.995341006,-0.650447402,-1.452502545,3,4,19,11,10
435,T.J. Leaf,-2.506173811,-0.574129784,-0.173696167,-1.921039455,-1.077950166,3,4,18,17,16
438,Taj Gibson,-2.898219145,-0.40187868,1.115124138,0.072749353,-0.14604252,3,4,6,8,9
446,Thomas Bryant,-4.009441875,-1.233369054,0.85808997,-0.98060065,-1.054429238,3,4,6,8,10
463,Tristan Thompson,-3.72487856,0.747408958,0.95813483,-0.255837385,0.015254033,3,4,6,8,9
471,Tyler Zeller,-5.414221633,0.24271589,-1.21113431,1.749033259,-1.078591453,3,4,2,11,10
483,Wendell Carter Jr.,-4.129248225,-0.885275305,-0.68312096,0.612067496,0.047178262,3,4,2,11,14
488,Willie Cauley-Stein,-4.37490669,-0.198254585,0.960430262,-1.280865941,0.370022351,3,4,6,8,10
489,Willy Hernangómez,-3.943466157,0.702200385,0.799665585,-0.703656194,1.139287997,3,4,6,8,9
493,Zach Collins,-2.761267392,-0.859540418,-0.059511973,0.460078527,0.735561999,3,4,10,8,8
6,Alec Burks,0.877722053,0.698309115,0.902585043,-0.326342641,0.028541435,2,2,17,5,5
7,Álex Abrines,2.673946776,-2.674564422,-0.287648845,-0.047183469,-0.04294278,2,3,1,6,6
13,Allen Crabbe,2.56495114,-2.723297445,-0.229476818,0.27324261,0.768166342,2,3,1,6,6
25,Anthony Tolliver,1.726313934,-2.613694905,0.521038604,1.516139089,0.587379911,2,3,16,6,6
29,Avery Bradley,2.490575333,-1.202688669,0.073574856,1.045010814,0.077192716,2,3,16,5,6
30,B.J. Johnson,2.169745557,-1.855742741,1.071784135,-1.431267004,1.346703472,2,3,1,6,11
39,Bogdan Bogdanovic,1.898438539,0.843907804,0.672328836,-0.092038888,-0.085034527,2,2,17,5,5
