Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,% of FGA by Distance 2P,% of FGA by Distance 0-3,% of FGA by Distance 3-10,% of FGA by Distance 10-16,% of FGA by Distance 16-3P,% of FGA by Distance 3P,FG% by Distance 2P,FG% by Distance 0-3,FG% by Distance 3-10,FG% by Distance 10-16,FG% by Distance 16-3P,FG% by Distance 3P,% of FG Ast'd 2P,% of FG Ast'd 3P,Dunks %FGA,Dunks Num,Corner 3s %3PA,Corner 3s 3P%,Heaves Att.,Heaves Num
357,Greg Monroe\monrogr01,C,28,TOT,43,480,0.487,4.5,0.974,0.534,0.354,0.063,0.021,0.026,0.495,0.604,0.388,0.333,0,0.2,0.527,1,0.016,2,0,,0,0
357,Greg Monroe\monrogr01,C,28,TOR,38,423,0.46,4.2,0.975,0.565,0.348,0.05,0.012,0.025,0.471,0.56,0.375,0.25,0,0,0.527,,0.019,2,0,,0,0
357,Greg Monroe\monrogr01,C,28,BOS,2,5,0.6,3.2,1,0.4,0.6,0,0,0,0.6,1,0.333,,,,0,,0,0,,,0,0
357,Greg Monroe\monrogr01,C,28,PHI,3,52,0.652,7.4,0.957,0.348,0.348,0.174,0.087,0.043,0.636,1,0.5,0.5,0,1,0.643,1,0,0,0,,0,0
358,E'Twaun Moore\mooreet01,SG,29,NOP,53,1463,0.481,13.3,0.669,0.211,0.256,0.13,0.073,0.331,0.506,0.652,0.463,0.449,0.333,0.432,0.694,0.921,0.002,0,0.324,0.333,0,0
359,Eric Moreland\moreler01,PF,27,TOT,5,43,0.429,6.7,0.857,0.429,0.429,0,0,0.143,0.333,0.333,0.333,,,1,0,1,0,0,0,,0,0
359,Eric Moreland\moreler01,PF,27,PHO,1,5,,,,,,,,,,,,,,,,,,0,,,0,0
359,Eric Moreland\moreler01,PF,27,TOR,4,38,0.429,6.7,0.857,0.429,0.429,0,0,0.143,0.333,0.333,0.333,,,1,0,1,0,0,0,,0,0
360,Jaylen Morris\morrija01,SG,23,MIL,4,29,0.4,10.5,0.7,0.4,0.3,0,0,0.3,0.429,0.5,0.333,,,0.333,0.667,1,0,0,0,,0,0
361,Marcus Morris\morrima03,PF,29,BOS,75,2091,0.447,16.6,0.539,0.174,0.117,0.143,0.104,0.461,0.508,0.68,0.455,0.38,0.455,0.375,0.528,0.938,0.017,13,0.144,0.232,4,0
362,Markieff Morris\morrima02,PF,29,TOT,58,1270,0.421,14.6,0.581,0.221,0.169,0.151,0.039,0.419,0.484,0.654,0.415,0.342,0.368,0.335,0.581,0.985,0.035,15,0.241,0.286,1,0
362,Markieff Morris\morrima02,PF,29,WAS,34,883,0.436,15.2,0.561,0.207,0.159,0.159,0.037,0.439,0.516,0.706,0.423,0.385,0.417,0.333,0.579,0.979,0.04,12,0.174,0.32,1,0
362,Markieff Morris\morrima02,PF,29,OKC,24,387,0.391,13.3,0.622,0.25,0.192,0.135,0.045,0.378,0.423,0.564,0.4,0.238,0.286,0.339,0.585,1,0.026,3,0.407,0.25,0,0
363,Monte Morris\morrimo01,PG,23,DEN,82,1970,0.493,14,0.677,0.178,0.221,0.171,0.107,0.323,0.531,0.64,0.497,0.517,0.44,0.414,0.456,0.862,0.003,2,0.264,0.45,1,0
364,Donatas Motiejūnas\motiedo01,PF,28,SAS,3,13,0.5,7.8,1,0.333,0.333,0.333,0,0,0.5,0.5,0.5,0.5,,,1,,0,0,,,0,0
365,Johnathan Motley\motlejo01,PF,23,LAC,22,156,0.534,4.7,0.959,0.493,0.397,0.068,0,0.041,0.557,0.722,0.414,0.2,,0,0.615,,0.205,14,0.333,0,0,0
366,Emmanuel Mudiay\mudiaem01,PG,22,NYK,59,1607,0.446,12.7,0.716,0.322,0.115,0.169,0.111,0.284,0.492,0.538,0.388,0.488,0.476,0.329,0.226,0.855,0.015,10,0.157,0.424,0,0
367,Jamal Murray\murraja01,PG,21,DEN,75,2447,0.437,15.1,0.647,0.184,0.16,0.169,0.134,0.353,0.476,0.583,0.399,0.439,0.465,0.367,0.526,0.684,0.025,25,0.089,0.568,2,0
368,Džanan Musa\musadz01,SG,19,BRK,9,39,0.409,15.6,0.545,0.227,0.182,0.045,0.091,0.455,0.667,0.8,0.75,0,0.5,0.1,0.75,1,0,0,0.2,0,0,0
369,Mike Muscala\muscami01,PF,27,TOT,64,1306,0.402,20.2,0.291,0.144,0.061,0.047,0.039,0.709,0.533,0.596,0.455,0.529,0.429,0.348,0.768,1,0.017,5,0.191,0.306,1,0
369,Mike Muscala\muscami01,PF,27,PHI,47,1041,0.392,20.2,0.284,0.14,0.061,0.05,0.032,0.716,0.519,0.615,0.471,0.5,0.222,0.342,0.756,1,0.022,5,0.206,0.317,1,0
