Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,% of FGA by Distance 2P,% of FGA by Distance 0-3,% of FGA by Distance 3-10,% of FGA by Distance 10-16,% of FGA by Distance 16-3P,% of FGA by Distance 3P,FG% by Distance 2P,FG% by Distance 0-3,FG% by Distance 3-10,FG% by Distance 10-16,FG% by Distance 16-3P,FG% by Distance 3P,% of FG Ast'd 2P,% of FG Ast'd 3P,Dunks %FGA,Dunks Num,Corner 3s %3PA,Corner 3s 3P%,Heaves Att.,Heaves Num
504,Yuta Watanabe\watanyu01,SF,24,MEM,15,174,0.294,13.8,0.686,0.216,0.157,0.216,0.098,0.314,0.371,0.636,0.375,0.182,0.2,0.125,0.769,1,0.039,2,0.375,0.167,0,0
505,Thomas Welsh\welshth01,C,22,DEN,11,36,0.538,20.2,0.462,0.077,0,0.231,0.154,0.538,0.667,1,,0.667,0.5,0.429,1,1,0.077,1,0,,0,0
506,Russell Westbrook\westbru01,PG,30,OKC,73,2630,0.428,12.5,0.721,0.361,0.088,0.143,0.129,0.279,0.481,0.65,0.208,0.333,0.358,0.29,0.17,0.613,0.029,33,0.119,0.367,0,0
507,Derrick White\whitede01,PG,24,SAS,67,1728,0.479,12.4,0.738,0.262,0.219,0.125,0.133,0.262,0.529,0.655,0.437,0.441,0.514,0.338,0.429,0.833,0.029,15,0.155,0.318,0,0
508,Okaro White\whiteok01,PF,26,WAS,3,6,0,25,0,0,0,0,0,1,,,,,,0,,,0,0,0.5,0,0,0
509,Hassan Whiteside\whiteha01,C,29,MIA,72,1674,0.571,4.8,0.976,0.529,0.337,0.076,0.034,0.024,0.581,0.697,0.476,0.308,0.435,0.125,0.614,1,0.231,151,0.5,0.125,0,0
510,Andrew Wiggins\wiggian01,SF,23,MIN,73,2543,0.412,13.7,0.712,0.264,0.146,0.122,0.181,0.288,0.441,0.621,0.341,0.34,0.329,0.339,0.45,0.814,0.037,39,0.164,0.474,2,0
511,Alan Williams\willial03,PF,26,BRK,5,26,0.615,7.6,0.923,0.308,0.385,0.231,0,0.077,0.667,0.75,0.6,0.667,,0,0.75,,0,0,0,,0,0
512,C.J. Williams\willicj01,SG,28,MIN,15,128,0.486,16.1,0.543,0.2,0.171,0.029,0.143,0.457,0.632,0.714,0.333,1,0.8,0.313,0.5,0.6,0.029,1,0.25,0,0,0
513,Johnathan Williams\willijo04,C,23,LAL,24,372,0.591,3.9,0.982,0.691,0.236,0.036,0.018,0.018,0.602,0.711,0.346,0.25,0.5,0,0.708,,0.3,30,0.5,0,1,0
514,Kenrich Williams\willike04,SF,24,NOP,46,1079,0.384,16.5,0.441,0.283,0.072,0.032,0.054,0.559,0.447,0.582,0.15,0.333,0.2,0.333,0.709,0.923,0.039,9,0.25,0.256,2,0
515,Lou Williams\willilo02,SG,32,LAC,75,1993,0.425,13.7,0.744,0.221,0.185,0.163,0.176,0.256,0.447,0.578,0.398,0.432,0.35,0.361,0.224,0.581,0.004,4,0.117,0.441,0,0
516,Marvin Williams\willima02,PF,32,CHO,75,2133,0.422,17.2,0.414,0.158,0.186,0.041,0.029,0.586,0.5,0.641,0.421,0.37,0.421,0.366,0.763,0.993,0.015,8,0.309,0.432,1,0
517,Robert Williams\williro04,C,21,BOS,32,283,0.706,2.6,1,0.824,0.098,0.059,0.02,0,0.706,0.786,0.4,0.333,0,,0.861,,0.608,26,,,0,0
518,Troy Williams\willitr02,SF,24,SAC,21,312,0.449,14,0.551,0.327,0.173,0,0.051,0.449,0.556,0.656,0.471,,0.2,0.318,0.533,1,0.122,12,0.182,0.25,1,0
519,D.J. Wilson\wilsodj01,PF,22,MIL,48,882,0.414,15.7,0.494,0.239,0.124,0.08,0.052,0.506,0.468,0.567,0.387,0.35,0.385,0.362,0.776,0.957,0.096,17,0.394,0.38,0,0
520,Justise Winslow\winslju01,SF,22,MIA,66,1959,0.433,13,0.658,0.251,0.236,0.107,0.064,0.342,0.462,0.569,0.412,0.35,0.417,0.375,0.36,0.979,0.021,16,0.332,0.376,1,0
521,Christian Wood\woodch01,PF,23,TOT,21,251,0.521,9.2,0.778,0.427,0.248,0.051,0.051,0.222,0.571,0.74,0.345,0.5,0.333,0.346,0.673,1,0.205,23,0.192,0.2,0,0
521,Christian Wood\woodch01,PF,23,MIL,13,62,0.48,8.6,0.8,0.4,0.36,0,0.04,0.2,0.45,0.6,0.333,,0,0.6,0.667,1,0.12,3,0,,0,0
521,Christian Wood\woodch01,PF,23,NOP,8,189,0.533,9.4,0.772,0.435,0.217,0.065,0.054,0.228,0.606,0.775,0.35,0.5,0.4,0.286,0.674,1,0.228,20,0.238,0.2,0,0
522,Delon Wright\wrighde01,PG,26,TOT,75,1699,0.434,10.8,0.699,0.401,0.206,0.065,0.027,0.301,0.492,0.616,0.357,0.25,0.267,0.298,0.323,0.76,0.023,13,0.22,0.405,5,0
522,Delon Wright\wrighde01,PG,26,TOR,49,897,0.433,10.9,0.693,0.372,0.242,0.051,0.027,0.307,0.478,0.587,0.394,0.2,0.25,0.333,0.32,0.733,0.027,8,0.222,0.5,1,0
522,Delon Wright\wrighde01,PG,26,MEM,26,802,0.434,10.8,0.706,0.434,0.166,0.079,0.026,0.294,0.508,0.643,0.295,0.286,0.286,0.256,0.326,0.8,0.019,5,0.218,0.294,4,0
523,Guerschon Yabusele\yabusgu01,PF,23,BOS,41,251,0.455,12.4,0.636,0.286,0.286,0.026,0.039,0.364,0.531,0.727,0.364,0.5,0.333,0.321,0.615,1,0.026,2,0.214,0.167,0,0
524,Nick Young\youngni01,SG,33,DEN,4,37,0.333,23.3,0.111,0,0,0.111,0,0.889,0,,,0,,0.375,,1,0,0,0.25,0,0,0
525,Thaddeus Young\youngth01,PF,30,IND,81,2489,0.527,7.8,0.826,0.464,0.287,0.039,0.037,0.174,0.564,0.679,0.456,0.303,0.226,0.349,0.554,0.941,0.05,36,0.445,0.354,2,0
526,Trae Young\youngtr01,PG,20,ATL,81,2503,0.418,14.9,0.616,0.265,0.143,0.146,0.063,0.384,0.477,0.562,0.419,0.448,0.316,0.324,0.211,0.423,0,0,0.037,0.389,1,0
527,Cody Zeller\zelleco01,C,26,CHO,49,1243,0.551,5.1,0.936,0.545,0.328,0.055,0.009,0.064,0.57,0.691,0.434,0.211,0.333,0.273,0.745,1,0.139,43,0,,0,0
528,Tyler Zeller\zellety01,C,29,TOT,6,93,0.533,4.8,0.967,0.433,0.5,0.033,0,0.033,0.552,0.615,0.467,1,,0,0.625,,0.067,2,1,0,0,0
528,Tyler Zeller\zellety01,C,29,ATL,2,11,0,12.5,0.5,0.5,0,0,0,0.5,0,0,,,,0,,,0,0,1,0,0,0
528,Tyler Zeller\zellety01,C,29,MEM,4,82,0.571,4.2,1,0.429,0.536,0.036,0,0,0.571,0.667,0.467,1,,,0.625,,0.071,2,,,0,0
529,Ante Žižić\zizican01,C,22,CLE,59,1082,0.553,4.4,1,0.565,0.29,0.103,0.042,0,0.553,0.663,0.406,0.471,0.286,,0.683,,0.082,25,,,0,0
530,Ivica Zubac\zubaciv01,C,21,TOT,59,1040,0.559,3.4,1,0.62,0.322,0.034,0.024,0,0.559,0.651,0.426,0.385,0.222,,0.802,,0.251,82,,,0,0
530,Ivica Zubac\zubaciv01,C,21,LAL,33,516,0.58,3.5,1,0.58,0.363,0.036,0.021,0,0.58,0.688,0.471,0.286,0,,0.795,,0.228,38,,,0,0
530,Ivica Zubac\zubaciv01,C,21,LAC,26,524,0.538,3.3,1,0.661,0.28,0.032,0.027,0,0.538,0.618,0.365,0.5,0.4,,0.81,,0.274,44,,,0,0
